Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
2016480060177,"8:42pm, 13th March 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016480060177/,https://api.cyclestreets.net/v2/collisions.location?id=2016480060177,51.511019,-0.104553
2016480081255,"8:30am, 7th June 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016480081255/,https://api.cyclestreets.net/v2/collisions.location?id=2016480081255,51.511736,-0.104379
2016480105922,"8:11am, 26th August 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016480105922/,https://api.cyclestreets.net/v2/collisions.location?id=2016480105922,51.511148,-0.106998
2016480118708,"7:00pm, 30th September 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016480118708/,https://api.cyclestreets.net/v2/collisions.location?id=2016480118708,51.511381,-0.104682
2016480120261,"8:00am, 10th October 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016480120261/,https://api.cyclestreets.net/v2/collisions.location?id=2016480120261,51.511,-0.103401
2016480135469,"4:35am, 13th November 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016480135469/,https://api.cyclestreets.net/v2/collisions.location?id=2016480135469,51.511911,-0.104084
2017480154955,"9:11am, 3rd February 2017",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017480154955/,https://api.cyclestreets.net/v2/collisions.location?id=2017480154955,51.511132,-0.108148
2017480183458,"9:19am, 15th May 2017",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017480183458/,https://api.cyclestreets.net/v2/collisions.location?id=2017480183458,51.511204,-0.106992
2017480193031,"9:00am, 17th May 2017",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017480193031/,https://api.cyclestreets.net/v2/collisions.location?id=2017480193031,51.511201,-0.106848
2017480248835,"10:20am, 25th October 2017",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017480248835/,https://api.cyclestreets.net/v2/collisions.location?id=2017480248835,51.511607,-0.104093
2017480258100,"7:00pm, 3rd November 2017",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017480258100/,https://api.cyclestreets.net/v2/collisions.location?id=2017480258100,51.511192,-0.106272
2018480296570,"7:55am, 18th April 2018",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018480296570/,https://api.cyclestreets.net/v2/collisions.location?id=2018480296570,51.511032,-0.108066
2018480307330,"5:07pm, 26th May 2018",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018480307330/,https://api.cyclestreets.net/v2/collisions.location?id=2018480307330,51.511131,-0.108061
2018480307414,"9:20am, 21st May 2018",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018480307414/,https://api.cyclestreets.net/v2/collisions.location?id=2018480307414,51.512206,-0.103319
2018480336482,"9:38am, 15th January 2018",slight,Cyclist,2,2,https://www.cyclestreets.net/collisions/reports/2018480336482/,https://api.cyclestreets.net/v2/collisions.location?id=2018480336482,51.511499,-0.104674
2018480811203,"10:12am, 17th September 2018",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018480811203/,https://api.cyclestreets.net/v2/collisions.location?id=2018480811203,51.512107,-0.103337
2018480811216,"8:39pm, 11th September 2018",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018480811216/,https://api.cyclestreets.net/v2/collisions.location?id=2018480811216,51.512059,-0.10259
2018480817779,"5:15pm, 24th September 2018",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018480817779/,https://api.cyclestreets.net/v2/collisions.location?id=2018480817779,51.511839,-0.103982
